,Date,Price,Fear/Greed Value ,Sentiment ( F/G)
596,2019-11-01,9230.1,49,Neutral
595,2019-11-02,9300.6,51,Neutral
594,2019-11-03,9198.3,56,Greed
593,2019-11-04,9396.4,49,Neutral
592,2019-11-05,9310.8,54,Neutral
591,2019-11-06,9338.9,53,Neutral
590,2019-11-07,9223.5,54,Neutral
589,2019-11-08,8778.2,42,Fear
588,2019-11-09,8804.5,38,Fear
587,2019-11-10,9036.8,39,Fear
586,2019-11-11,8736.9,40,Fear
585,2019-11-12,8812.6,39,Fear
584,2019-11-13,8783.1,38,Fear
583,2019-11-14,8661.2,41,Fear
582,2019-11-15,8476.3,38,Fear
581,2019-11-16,8497.3,41,Fear
580,2019-11-17,8509.8,38,Fear
579,2019-11-18,8208.4,38,Fear
578,2019-11-19,8145.7,32,Fear
577,2019-11-20,8099.3,32,Fear
576,2019-11-21,7627.9,30,Fear
575,2019-11-22,7272.5,20,Extreme Fear
574,2019-11-23,7324.1,23,Extreme Fear
573,2019-11-24,6924.7,21,Extreme Fear
572,2019-11-25,7115.6,17,Extreme Fear
571,2019-11-26,7162.8,21,Extreme Fear
570,2019-11-27,7510.6,20,Extreme Fear
569,2019-11-28,7426.7,32,Fear
568,2019-11-29,7742.7,31,Fear
567,2019-11-30,7546.6,38,Fear
566,2019-12-01,7396.4,25,Extreme Fear
565,2019-12-02,7298.2,28,Fear
564,2019-12-03,7291.8,28,Fear
563,2019-12-04,7204.4,24,Extreme Fear
562,2019-12-05,7399.2,21,Extreme Fear
561,2019-12-06,7530.8,29,Fear
560,2019-12-07,7510.9,32,Fear
559,2019-12-08,7524.4,28,Fear
558,2019-12-09,7355.8,32,Fear
557,2019-12-10,7235.7,26,Fear
556,2019-12-11,7208.0,20,Extreme Fear
555,2019-12-12,7208.0,23,Extreme Fear
554,2019-12-13,7255.2,22,Extreme Fear
553,2019-12-14,7080.8,27,Fear
552,2019-12-15,7128.5,21,Extreme Fear
551,2019-12-16,6903.5,24,Extreme Fear
550,2019-12-17,6613.3,23,Extreme Fear
549,2019-12-18,7276.0,15,Extreme Fear
548,2019-12-19,7165.5,21,Extreme Fear
547,2019-12-20,7196.4,23,Extreme Fear
546,2019-12-21,7156.2,23,Extreme Fear
545,2019-12-22,7495.8,20,Extreme Fear
544,2019-12-23,7322.8,33,Fear
543,2019-12-24,7268.3,25,Extreme Fear
542,2019-12-25,7224.8,22,Extreme Fear
541,2019-12-26,7210.9,39,Fear
540,2019-12-27,7261.7,38,Fear
539,2019-12-28,7321.5,37,Fear
538,2019-12-29,7397.5,37,Fear
537,2019-12-30,7261.8,40,Fear
536,2019-12-31,7196.4,38,Fear
535,2020-01-01,7199.8,37,Fear
534,2020-01-02,6967.0,39,Fear
533,2020-01-03,7343.1,38,Fear
532,2020-01-04,7376.8,38,Fear
531,2020-01-05,7372.5,39,Fear
530,2020-01-06,7759.1,41,Fear
529,2020-01-07,8155.7,40,Fear
528,2020-01-08,8059.6,51,Neutral
527,2020-01-09,7842.4,44,Fear
526,2020-01-10,8187.1,41,Fear
525,2020-01-11,8024.1,50,Neutral
524,2020-01-12,8187.6,45,Fear
523,2020-01-13,8111.4,49,Neutral
522,2020-01-14,8829.2,56,Greed
521,2020-01-15,8818.3,54,Neutral
520,2020-01-16,8726.9,55,Greed
519,2020-01-17,8913.1,54,Neutral
518,2020-01-18,8916.3,51,Neutral
517,2020-01-19,8706.2,53,Neutral
516,2020-01-20,8641.9,48,Neutral
515,2020-01-21,8732.6,49,Neutral
514,2020-01-22,8678.5,52,Neutral
513,2020-01-23,8405.1,49,Neutral
512,2020-01-24,8439.9,40,Fear
511,2020-01-25,8341.6,41,Fear
510,2020-01-26,8607.8,42,Fear
509,2020-01-27,8866.6,50,Neutral
508,2020-01-28,9377.3,54,Neutral
507,2020-01-29,9298.9,57,Greed
506,2020-01-30,9507.3,57,Greed
505,2020-01-31,9349.1,55,Greed
504,2020-02-01,9381.6,57,Greed
503,2020-02-02,9334.9,57,Greed
502,2020-02-03,9296.6,59,Greed
501,2020-02-04,9193.9,56,Greed
500,2020-02-05,9611.8,53,Neutral
499,2020-02-06,9772.0,61,Greed
498,2020-02-07,9818.6,56,Greed
497,2020-02-08,9895.5,56,Greed
496,2020-02-09,10151.5,56,Greed
495,2020-02-10,9854.1,57,Greed
494,2020-02-11,10229.5,52,Neutral
493,2020-02-12,10317.7,61,Greed
492,2020-02-13,10235.1,65,Greed
491,2020-02-14,10333.0,63,Greed
490,2020-02-15,9907.7,64,Greed
489,2020-02-16,9932.3,59,Greed
488,2020-02-17,9701.4,49,Neutral
487,2020-02-18,10158.4,53,Neutral
486,2020-02-19,9609.4,50,Neutral
485,2020-02-20,9602.4,44,Fear
484,2020-02-21,9684.5,44,Fear
483,2020-02-22,9655.7,43,Fear
482,2020-02-23,9942.7,46,Fear
481,2020-02-24,9662.7,46,Fear
480,2020-02-25,9317.2,44,Fear
479,2020-02-26,8800.3,41,Fear
478,2020-02-27,8818.6,39,Fear
477,2020-02-28,8697.5,40,Fear
476,2020-02-29,8543.7,38,Fear
475,2020-03-01,8540.0,39,Fear
474,2020-03-02,8904.8,38,Fear
473,2020-03-03,8761.4,38,Fear
472,2020-03-04,8757.9,40,Fear
471,2020-03-05,9060.3,41,Fear
470,2020-03-06,9134.8,39,Fear
469,2020-03-07,8887.8,38,Fear
468,2020-03-08,8034.1,33,Fear
467,2020-03-09,7933.0,17,Extreme Fear
466,2020-03-10,7891.2,16,Extreme Fear
465,2020-03-11,7935.1,17,Extreme Fear
464,2020-03-12,4826.0,14,Extreme Fear
463,2020-03-13,5584.3,10,Extreme Fear
462,2020-03-14,5182.7,8,Extreme Fear
461,2020-03-15,5366.3,12,Extreme Fear
460,2020-03-16,5030.0,9,Extreme Fear
