text,sentiment
"Bitcoin miners exit China, beat a path to the U.S. as crypto climate shifts",Extreme Fear
Bitcoin Drops Ahead of Looming ‘Death Cross’,Extreme Fear
World Bank rejects El Salvador request for help in adopting bitcoin,Fear
"Bitcoin remains above $40,000, Ether down nearly 3%",Fear
Elon Musk to help crypto miners form Bitcoin Mining Council,Fear
Bitcoin Price Jumps After Elon Musk Says Tesla Could Use It Again,Fear
JP Morgan warns that Bitcoin bear market might be here,Extreme Fear
"Bitcoin falls nearly 6% to $35,210; Ether drops 2.5%",Fear
"Surf and bitcoin, El Salvador beach town rides crypto wave",Extreme Fear
Bitcoin price climbs as Basel panel proposes banking capital rules,Extreme Fear
El Salvador first country to approve bitcoin as legal tender,Extreme Fear
Bitcoin falls below $32K after Colonial Pipeline's ransom recovery,Extreme Fear
El Salvador president wants Bitcoin as legal tender,Extreme Fear
Elon Musk has been dragging Bitcoin where it dreaded to go,Extreme Fear
Elon Musk says Bitcoin is not 'real economy'. Here's what Tesla CEO thinks it is,Extreme Fear
Bitcoin slips after Musk tweets a broken heart emoji with Linkin Park song,Fear
Bitcoin in Repair Mode as Traders Head to Miami; Dogecoin Gains,Extreme Fear
JPMorgan says bitcoin price could decline further before stabilizing:,Extreme Fear
"Bitcoin Price, Foreign ASIC Demand Drive Profitable Q1 for Miner Producer Canaan",Extreme Fear
"RBI clears air on cryptocurrency trading, asks banks to perform customer due diligence",Extreme Fear
The bitcoin racing car will be starting on the front line of the Indy 500 today.,Extreme Fear
"Bitcoin Slides to $35K, ETH to $2.4K on Biden, Environmental Bearishness",Extreme Fear
India’s HDFC Bank Calls Bitcoin a Fad as Exchanges Mull Legal Fight Over Restrictions,Extreme Fear
"Weak PayPal Pump Leaves Market Mostly Flat With BTC at $38K, ETH $2.7K",Fear
"PayPal Will Let Customers Withdraw Crypto, Exec Says",Extreme Fear
Bitcoin Rises to Near $40K After Musk Tweets About BTC Mining’s ‘Promising’ Renewable Usage,Extreme Fear
Bitcoin Holds Short-Term Support; Faces Resistance at $40K,Extreme Fear
"Bitcoin, Ether Now Down 50% From Last Month’s ATH as Rout Resumes",Extreme Fear
"China Breaks Crypto as Bitcoin Falls to $36K, ETH Drops $300 in Two Hours",Extreme Fear
"Bitcoin Falls as China Calls for Crackdown on Crypto Mining, Trading",Extreme Fear
"Capitulation City as Bitcoin Dumps to $31K, ETH to $2K Before Reversal",Extreme Fear
"Ether Climbs, Pushing Past ‘Musk Dip’ as Crypto Volatility Increases",Extreme Fear
Elon Taketh Away – Bitcoin Continues Fall as Options Traders Pile Into Puts,Extreme Fear
"Bitcoin Drops After Musk Suggests Tesla May Sell Holdings, Says It Hasn’t Yet",Fear
"Bitcoin rises 5.6% to $49,337.72",Extreme Fear
It’s ‘Doge Day Afternoon’ as Memecoin Jumps 47%; Ether and Bitcoin Rise,Fear
Bitcoin Falls for Second Straight Day After Tesla Action; Ether Follows,Fear
DeFi Tokens Aave and Uniswap Climb While ETH and BTC Dump,Fear
"Yearn, EOS Rise Over 30% While Ether and Bitcoin Eke Out Small Gains",Neutral
BTC Market Dominance Reaches the Lowest Level since July 2018,Greed
Twitter Scammers Used Elon Musk’s ‘SNL’ Appearance to Reap $100K in Crypto,Greed
‘Call Me the Dogefather’: Elon Musk Explains Crypto to SNL’s Audience,Greed
"Bitcoin Near $58K, Rises After US Jobs Miss but Lags Altcoins",Greed
Gold Rallies as Bitcoin Languishes Around $56K,Greed
"Ethereum Classic Steals Show From Bitcoin, Ether, Even DOGE",Greed
"Bitcoin, Ether Recover From Midday Market Sell-Off as the DOGE Abides",Neutral
"Ether Shoots to $3.3K While Bitcoin Hangs Below $60,000",Greed
Crypto market cap doubles to eye-popping $2.3 trillion in 3 months as mainstream adoption gets nearer,Greed
"A Bitcoin move back through to $58,000 levels would support the broader market.",Greed
Bitcoin Hits $57K After $4.2B Options Expirations; Ether Steadies at $2.7K,Greed
"Bitcoin Near $53K After Major Drop as Ether Tops $2,800 for First Time",Neutral
Bitcoin Stays Near $55K as Ether Hits Brand-New Record Price,Neutral
Bitcoin Over $55K as Ether Hits New All-Time High,Greed
Bitcoin Bounces to $54K as Ether Fees Drop Below Average in Past Week,Neutral
Bitcoin climbs 10% as cryptocurrency market attempts a comeback from last week’s plunge,Fear
"Bitcoin, BTC to USD, fell by 1.91% on Saturday. Following on from a 1.17% decline on Friday, Bitcoin ended the day at $50,161.0.",Fear
Bitcoin Steadies After $300B Market Cap Dump on Taxation Trepidation,Fear
Bitcoin Leads Price Sell-Off Across Crypto Markets as Biden Tax Plan Bites,Greed
Bitcoin in Neutral at $55.5K as Ether Continues Bull Run,Greed
"Bitcoin Flat at $56.7K, Ether Rises and It Wasn’t Dogeday’s Afternoon",Greed
